path,a1,a2,GT,pred
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_18_19_0023.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_18_19_0030.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_18_19_0076.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_18_19_0115.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0004.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0019.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0080.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0140.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0160.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0162.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0200.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0214.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0215.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0249.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0250.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0270.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0288.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0296.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0335.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0376.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0450.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0538.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0541.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0579.jpg,1,,NOT,NOT
H:\18612\TEST_PEDA_N_PEDO\not_porn\N_2busty2hide_0609.jpg,1,,NOT,NOT
